index,genre,problem,answerRight,answerWrong
1,1,長いのは？,野球の投手板～ホーム,サッカーのPKマーク～ゴールライン
2,1,柔道でポイントが高いのは？,有効,効果
3,1,田中将大の出身校は？,駒大苫小牧,仙台育英
4,1,松山中央公園野球場の愛称は？,坊っちゃんスタジアム,三四郎スタジアム
5,1,セレッソ大阪の「セレッソ」とは？,桜,菊
6,1,五輪の野球にプロ野球の選手は,出場できる,出場できない
7,1,サッカーのPKの助走距離制限,特に制限はない,10mまで
8,1,K-1グランプリの「K」の由来は？,格闘技,喧嘩
9,1,アントニオ猪木が生まれた国は？,日本,ブラジル
10,1,「ラグビー」の名前の由来は？,学校の名前,考案者の名前
11,1,長いのは？,府中競馬場 芝コース1周,国立競技場 トラック4周
12,1,水泳の北島康介の所属は？,日本コカ・コーラ,キリンビバレッジ
13,1,スキージャンプで選手に有利なのは？,向かい風,追い風
14,1,室伏広治の妹もハンマー投げ選手だった,○,×
15,1,ラジオ体操第二の最初は？,全身をゆする運動,腕を曲げ伸ばす運動
16,2,ドラえもんは何世紀から来た？,22世紀,23世紀
17,2,「ONE PIECE」のジャンプ連載開始は？,1997年,1999年
18,2,「ハウルの動く城」のヒロインは？,ソフィー,ソフィア
19,2,ばいきんまんは体を洗うと,体が小さくなる,透明になる
20,2,新海誠監督の映画「○○○○○、約束の場所」,雲のむこう,星のむこう
21,2,「カードキャプターさくら」主人公は？,木之本桜,真宮寺さくら
22,2,「DEATH NOTE」デスノートに名前だけ書くと？,心臓麻痺で死ぬ,交通事故で死ぬ
23,2,第１作の発売が早いのは？,ドラゴンクエスト,ファイナルファンタジー
24,2,「コナミコマンド」は？,上上下下左右左右ＢＡ,左左右右上下上下BA
25,2,「マリオペイント」に付属した周辺機器は？,マウス,ジョイスティック
26,2,「○○○○○○ なめこ栽培キット」,おさわり探偵,おやすみ探偵
27,2,映画「ゲド戦記」で主人公を演じたのは？,岡田准一,井ノ原快彦
28,2,ムーミンパパがかぶっているのは？,シルクハット,麦わら帽子
29,2,「きょうの猫村さん」猫村さんの職業は？,家政婦,漫画家
30,2,「花より男子」の御曹司4人組は？,F4,G4
31,3,長生きしたのは？,エルヴィス・プレスリー,マリリン・モンロー
32,3,先に結成されたのは？,SKE48,HKT48
33,3,「原武裕美」は誰の本名？,郷ひろみ,ヒロミ
34,3,NEWS手越祐也が在籍していた大学は？,早稲田大学,慶応大学
35,3,宇多田ヒカルの母親は？,藤圭子,藤あや子
36,3,背が低いのは？,田中裕二（爆笑問題）,中川剛（中川家）
37,3,「世界に一つだけの花」歌詞に登場するのは？,バケツ,花瓶
38,3,映画「Shall We Dance?」アメリカ版の主演は？,リチャード・ギア,ハリソン・フォード
39,3,アカデミー賞の授賞式が行われるのは？,ロサンゼルス,ニューヨーク
40,3,映画「2001年宇宙の旅」木星探査船の名前は？,ディスカバリー,エンデバー
41,3,映画「ハチミツとクローバー」主演は？,櫻井翔,相葉雅紀
42,3,映画「日本沈没」で総理大臣を演じたのは？,石坂浩二,渡哲也
43,3,R-1ぐらんぷり 優勝経験があるのは？,ほっしゃん。,鳥居みゆき
44,3,松嶋菜々子と福山雅治が主演したＴＶドラマは？,美女か野獣,美女と野獣
45,3,金八先生が教えているのは？,国語,社会
46,4,日本に多いのは？,ヤクルトレディ,佐川急便セールスドライバー
47,4,尊敬語は？,おっしゃる,申し上げる
48,4,面積が広いのは？,フランス,イタリア
49,4,日本に多いのは？,林さん,森さん
50,4,日本に多いのは？,coco壱番屋,リンガーハット
51,4,創刊が古いのは？,anan,nonno
52,4,条文の数が多いのは？,民法,刑法
53,4,日本に多いのは？,スターバックス,オートバックス
54,4,広いのは？,韓国,北海道
55,4,日本に多いのは？,女子高校,男子高校
56,4,1日の乗車数が多いのは？,JR東京駅,JR横浜駅
57,4,日本で台数が多いのは？,消防車,救急車
58,4,画数が多いのは？,躊躇,薔薇
59,4,広いのは？,東京ディズニーランド,バチカン市国
60,4,大豆からできるのは？,きなこ,あんこ
61,4,フィリピンにあるのは？,セブ島,プーケット島
62,4,「pentagon」日本語で？,五角形,六角形
63,4,キャビアは？,チョウザメの卵,ニシンの卵
64,4,面積が広いのは？,沖縄県,東京都
65,4,「メッセージ」は？,message,mesage
66,4,創刊が古いのは？,週刊女性,女性自身
67,4,「おしゃれ」は？,お洒落,お酒落
68,4,日本発祥の料理は？,タコライス,ロコモコ
69,4,議論が「煮詰まる」とは？,結論が出そうになる,結論が出せなくなる
70,4,GPSの「G」は何の略？,Global,Ground
71,4,「順不同」の意味は？,順番に決まりがない,順番は変更できない
72,4,「森のくまさん」でお嬢さんが落としたのは？,イヤリング,ペンダント
73,4,「オ・パキャマラド」は何語？,フランス語,スペイン語
74,5,長く続いたのは？,室町幕府,鎌倉幕府
75,5,ダヴィンチが先に描いたのは？,最後の晩餐,モナリザ
76,5,先に生まれたのは？,親鸞,日蓮
77,5,島崎藤村の作品は？,夜明け前,暗夜行路
78,5,先に生まれたのは？,ショパン,西郷隆盛
79,5,"「To be, or not to be」は何のセリフ？",ハムレット,リア王
80,5,和歌で「みずかかる」とは何の枕詞？,信濃,鎌倉
81,5,ロシアの作家は？,トルストイ,ヘミングウェイ
82,5,芥川龍之介の命日は○○忌,河童,桜桃
83,5,「詩聖」と呼ばれるのは？,杜甫,李白
84,5,文字を持たなかったとされる文明は？,インカ文明,マヤ文明
85,5,先に起こったのは？,五・一五事件,二・二六事件
86,5,巌流島があるのは現在の何県？,山口県,広島県
87,5,「独眼竜」伊達政宗が失明したのは？,右目,左目
88,5,「米将軍」と呼ばれたのは？,徳川吉宗,徳川綱吉
89,6,電流の単位は？,A,Ω
90,6,長いのは？,地球10周,月と地球の距離
91,6,答えが大きいのは？,5+2×10,5×2+10
92,6,「ほぼ等しい」は？,≒,≠
93,6,両生類は？,イモリ,ヤモリ
94,6,使い捨てカイロの主成分は？,鉄,砂
95,6,地球に近いのは？,金星,火星
96,6,イルカの尾びれは？,上下に動く,左右に動く
97,6,ドライアイスは何の固体？,二酸化炭素,窒素
98,6,第一宇宙速度とは何に必要な速度？,地球の衛星になる,地球の重力を振り切る
99,6,1+2+3+ … +1000 =,500500,50050
100,6,銅と亜鉛の合金は？,真鍮,青銅
101,6,「黄金比」とはおよそ1対いくつ？,1.618,1.414
102,6,百葉箱の扉の方角は？,北,南
103,6,「葉酸」の別名は？,ビタミンM,ビタミンQ
